Timestamp,Temp,Setpoint,PidOutput,Error,RelayState,TempTrend,Phase
2025-09-19 18:41:15,294.8,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:41:36,291.2,270,100,-21.2,100,FALLING,COOLDOWN
2025-09-19 18:41:57,293,270,100,-23,N/A,RISING,COOLDOWN
2025-09-19 18:42:18,293,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:42:39,293,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:43:00,294.8,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:43:21,293,270,N/A,N/A,100,FALLING,COOLDOWN
2025-09-19 18:43:42,294.8,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:44:04,294.8,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:44:25,296.6,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:44:46,296.6,270,N/A,N/A,0,STABLE,COOLDOWN
2025-09-19 18:45:07,296.6,270,100,-26.6,100,STABLE,COOLDOWN
2025-09-19 18:45:28,294.8,270,100,-24.8,100,FALLING,COOLDOWN
2025-09-19 18:45:49,296.6,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:46:10,300.2,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:46:31,296.6,270,N/A,N/A,100,FALLING,COOLDOWN
2025-09-19 18:46:52,298.4,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:47:14,300.2,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:47:35,300.2,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:47:56,298.4,270,N/A,N/A,100,FALLING,COOLDOWN
2025-09-19 18:48:17,298.4,270,100,-28.4,100,STABLE,COOLDOWN
2025-09-19 18:48:37,298.4,270,100,-28.4,N/A,STABLE,COOLDOWN
2025-09-19 18:48:59,298.4,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:49:20,302,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:49:41,300.2,270,N/A,N/A,100,FALLING,COOLDOWN
2025-09-19 18:50:02,300.2,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:50:23,300.2,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:50:44,302,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:51:06,302,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:51:27,302,270,100,-32,100,STABLE,COOLDOWN
2025-09-19 18:51:48,303.8,270,100,-33.8,100,RISING,COOLDOWN
2025-09-19 18:52:08,302,270,N/A,N/A,100,FALLING,COOLDOWN
2025-09-19 18:52:29,302,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:52:51,303.8,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:53:12,303.8,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:53:33,303.8,270,N/A,N/A,0,STABLE,COOLDOWN
2025-09-19 18:53:54,303.8,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:54:15,303.8,270,N/A,N/A,100,STABLE,COOLDOWN
2025-09-19 18:54:36,303.8,270,100,-33.8,100,STABLE,COOLDOWN
2025-09-19 18:54:57,305.6,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:55:18,309.2,270,N/A,N/A,100,RISING,COOLDOWN
2025-09-19 18:55:39,307.4,270,N/A,N/A,100,FALLING,COOLDOWN
2025-09-19 18:56:00,303.8,270,N/A,N/A,100,FALLING,COOLDOWN
2025-09-19 18:56:21,307.4,270,N/A,N/A,100,RISING,COOLDOWN
